abruptly 不意に、唐突に
absence 不足、欠乏
absolete 廃止された
accomplish ~に熟達している, 成し遂げる
according to ~に従って
adhoc 特別の、その場の
admit ~を認める
advocate 主張する、支持する
agnostic 不可知論社
allegory 寓話、
alleviate 軽減する、和らげる
alternate 交互に起こる
alternative 代替手段
although ~という事実にも関わらず
amend 品行を改める、改心する
anatomy 骨格、生体構造
annotated 注釈付きの
annual 年鑑、年次
apparently 一見したところ
applicant 応募者
appreciate ありがたく思う
appropriate ~を充てる、独り占めする, 適した、〜を充てる
arbitrary 〜に任せた、任意の、任意の、偶然による
arguably ほぼ間違いなく
arity 引数の個数
assessment 評価、判断、評価、査定
avenue 大通り、並木道
aware ~を知っている、〜が分かっている、〜に気づいている
bogus 鷹の、いんちきの
bounce ~をはずませる
brand 銘柄、汚名
bulk かさばる、膨らませる
caller 電話する
canary カナリア
carousel 回転木馬
caution 警告する
caveat 警告
cipher 暗号
circumstance 周囲の環境、状況
circumvent 避ける、回避する
civic 市の、市民の
clarify 〜を明確にする、解明する
clobber 繰り返し叩く
clumsy 不器用な、ぎこちなく
coerce ~を強要する、強制して〜させる
collation 照合
collect 集める
collide ぶつかる、衝突する
come across 思い浮かぶ
come into play 作用し始める
commision 委任する
compatibility 互換性
compensate 相殺する
complaint 不平、不満
complement 〜に賛辞を述べる
compliant 準拠した
comprehensive 理解力のある、理解力のある、理解のある
conceive ~と考える
concise 簡潔な
conduct 指揮する、電動する
conjunction 結合、共同
consequence 結果、結論
conservancy 保護、自然環境、管理委員会
consumable 消耗品
consume 消費する、消耗する
consumption 消費、消耗
conventionally 慣例的に
conversely 逆に、反対に
conversion 変換、転換
convey 伝達する、伝える
corpus コーパス
correct 正しい
debit 借金
debut デビューする
decade 10年間
dedicate 〜を捧げる
depict ~を表現する
deride 嘲笑う、冷笑する
descendant 子孫。門下生
detain 拘束する
deter 阻止する
deviant 変人、逸脱した人
dictate ~を書き取らせる
dispatch 発送する
dispute 議論する
drawback 障害
eager 〜を切望した、しきりに〜したがる
elaborate ~を詳しく述べる
elaborate 〜を詳しく調べる
elaborate 詳細に述べる
elaborate 詳細を述べる
eligible 適任者
embarrassing まごつかせる、きまりが悪い
endorse 承認する
endorsement 承認、是認
enforce 実行する、〜を強制する、〜を強く主張する
ensure ~を確かにする
equivalence 等値、同値、等量
erupt 噴出する、噴火する
esoteric　秘伝的な
establish 設置する、制定する
excerpt ~を抜粋する
excerpt 抜粋する、引用する
exhibit 表示する、表に出す
expose むき出しにする、経験させる、さらす
extensive 広大な、外延的な
external 外部
extraction 抜き取り
fabulous スバラあしい、法外な
formula 定型句、式、公式
fragile 壊れやすい、脆い
fragment 断片
frictionless 摩擦のない
furthermore その上に、さらに
germ 最近
get a hold of 〜を掴む、〜と連絡をとる
get ~ wrong ~を誤解する、勘違いする
grant 許可する、承諾する
hesitate ためらう、遠慮する
heterogeneous 異種の、異質の
horribly 恐ろしく
hostage 人質
identify 確認する、識別する
immediate 随時の
immigrate 他国に入る
imminent 切迫した
implode 内側を破壊する
in conjunction with 〜と連結して
in favor of 〜を支持して、〜を選択して
inactive 活動していない
inbound 入ってくる
incantation 形式的な決別文句
incantaton まじないを唱える
inclination 傾ける、傾向
incoming 到着、入ってくる
incorporate 〜に組込む、合体させる
incur 招く、受ける
indispensable 必須の、欠くことができない
inevitably 必然的に
inevitably 不可避的に、必然的に
infer 推論
initiate 始める、開始する
instrument 道具、器具、機器
intact 損傷を受けてない、完全なままの
integrate 結合する
intend 〜するつもりである
intend 〜するつもりでいる、〜を意図する
internal 内部の
interpret 通訳する、解釈する
intimidanting 威嚇するような
intuition 直感力
investment 投資、出資
invitee 招待される人
invocation 起動
invocation 起動、訴え
invoke 引き起こす、呼び出す
isolate 分離する
isolation 孤立、分離
isparta イスパルタ、toruko 
it stands to reason that 〜ということは理にかなっている
leprosy ハンセン病
let you know 知らせておくと
listen for ~に聞き耳を立てる
lousy 気に疲れない
mandatory 委任の、必須の
mandatory 受任者、命令の、命令的な
mangle ずたずたにする
miscellaneous 種々雑多な
moron 脳たりん、能無し
mulfunction 正常に機能しない
mutation 遺伝子
negate 否定する、〜を向こうにする
no matter how どんなに〜であろうとも
no matter how どんなに〜であろうとも
notably 特に、とりわけ、著しく
numb-nuts ばか者、愚か者、間抜け、能無し
nutrition 栄養摂取、栄養学
obligation 責任、拘束
obliterate 〜を消す、〜を全滅させる
obliterate 消す、
obscure ~を暗くする
obscure　覆い隠す
obsolete ~を廃れさせる
obsolete ~を廃れさせる
occasionally 時には
omission 省略
omit 除く、除外
omit 除く、除外する、含めない
ondinary 普通の状態
opaque ~を不明瞭にする
opponent 対戦相手
oppose 〜を対比させる
oscillator 振動するもの、動揺する人
outcome 結果、結末
outcome 結果、結末
participant 参加者、参加国
passess 周遊する、取り付く
pending 未決の、未決定の、審理中
perceive ~に気付く、〜を見抜く
permit 許可する
pertain 付属する、関係する
pervasive 広がる、行き渡る
pervasive 広がる、蔓延する
pitfall 隠れ危険
plagues 伝染病
plently 多量の、多数の
plenty 多量の、多数の
possession 所有、所得
preamble 予告、前文
precedence 先着、先に来ること
preceding ~に先行する
preceding ~に先行する
precise 正確な、詳細な
preferred 推奨の、望ましい
preferred 推奨の、望ましい、優先の
prelude 〜の前触れとなる
present 存在する、贈り物
preserve ~を保つ、〜を維持する
presume　仮定する、推理する
prevent 防ぐ、止める
prevision 〜に食料を供給する
proceed はじめる、開始する
profanity 不敬、口汚い
prominent 高くなった、突き出した、人目を引く
prominent 有名な、目立つ
prone ~しがち
propagete 伝搬する
proper 適した
properly 適切に
proponent 提案者
provision 設定する
prune しわしわにする
prune ふやけさせる、〜を刈り取る、切り詰める
purchase 購入する、仕入れる
purge 浄化する、除去
pursue 追跡する、追いかける
rebase 改床
recap 要点
register 〜の手続きをする、検知される
relevant 関係のある
reliance 頼りにすること
reliant 頼っている、依存している
religiously 宗教的に
repetition 繰り返し、反復
replay 〜を再演する
represent 〜を表す
reputation 評判、性質
resemble ~のようである、〜と共通点がある
resume 再び始める
retain ~を持ち続ける
revert 〔編集・更新などを〕戻す、取り消す
revert 立ち去る、戻す、取り戻す
revocation 取り消し
revoke 〜を取り消す
salute 敬礼する
sarcastic に引くな、辛辣な
satisfied 満足した、確信した
show off 自己顕示する、注目を集める
sibling 兄弟、姉妹
smash 粉々になる、粉砕する
sole 唯一の、たった1つの
